text,layer,head,mean_conc
code,2,6,0.4491736138689107
code,2,7,0.3376945373655736
code,2,8,0.34622513973849944
code,2,9,0.3946517863492856
code,2,10,0.4471039662415954
code,2,11,0.40398388141873237
code,3,0,0.4559619287992346
code,3,1,0.36528586587686646
code,3,2,0.36913318315456656
code,3,3,0.3978740542099394
code,3,4,0.3415914564982228
code,3,5,0.31313601804190666
code,3,6,0.3848111581528324
code,3,7,0.3524092060738596
code,3,8,0.3369596718714155
code,3,9,0.3915808468029417
code,3,10,0.35771560566178684
code,3,11,0.3366970789843592
code,4,0,0.35091767605693863
code,4,1,0.33212823275176956
code,4,2,0.3178771525278859
code,4,3,0.35127461675939886
code,4,4,0.46854990617982273
code,4,5,0.33076146707452575
code,4,6,0.36606149409694233
code,4,7,0.390108218309523
code,4,8,0.3488817985715537
code,4,9,0.34897951884516354
code,4,10,0.3939134656697854
code,4,11,0.38253625987590045
code,5,0,0.3844502679575449
code,5,1,0.35249870227671215
code,5,2,0.3364464542989073
code,5,3,0.3545991997609193
code,5,4,0.33937902097729433
code,5,5,0.36244386811366025
code,5,6,0.37726673158420915
code,5,7,0.3033538582338684
code,5,8,0.38063349309323846
code,5,9,0.3071114134857024
code,5,10,0.3325984729775067
code,5,11,0.38195313821578847
code,6,0,0.3570590420015927
code,6,1,0.3307513127039219
code,6,2,0.3010154799825844
code,6,3,0.3330643190734688
code,6,4,0.3042947017940982
code,6,5,0.3216998025603678
code,6,6,0.3225926547900014
code,6,7,0.33624040977708225
code,6,8,0.34926159731272993
code,6,9,0.3978016758444666
code,6,10,0.36748277610060814
code,6,11,0.32514755205176343
code,7,0,0.353367579051818
code,7,1,0.312064016687459
code,7,2,0.3876331880174834
code,7,3,0.3554355685395756
code,7,4,0.30627936210440493
code,7,5,0.30699425507550954
code,7,6,0.31279095613408364
code,7,7,0.3590037709680097
code,7,8,0.3339695480020567
code,7,9,0.311831576556995
code,7,10,0.41448109417126094
code,7,11,0.4005848952065939
code,8,0,0.399996116072282
code,8,1,0.39486457869924346
code,8,2,0.4173355349178972
code,8,3,0.31433859193462066
code,8,4,0.3169280554371319
code,8,5,0.3373786637495304
code,8,6,0.3317507988420026
code,8,7,0.35955714665610217
code,8,8,0.36472329668615056
code,8,9,0.326772700609832
code,8,10,0.3774992761940792
code,8,11,0.3848608226954252
code,9,0,0.29393323074127065
code,9,1,0.30974711392117643
code,9,2,0.29273678961841537
code,9,3,0.3575260640903451
code,9,4,0.35294588817947214
code,9,5,0.33995644457038793
code,9,6,0.3675246250697936
code,9,7,0.30405472835590097
code,9,8,0.3364375182266893
code,9,9,0.4000157660793984
code,9,10,0.34712082849836895
code,9,11,0.43932616162574156
code,10,0,0.4240209496226804
code,10,1,0.31437695814275196
code,10,2,0.382625708634826
code,10,3,0.36301615834236145
code,10,4,0.36435664248192445
code,10,5,0.3438496699278382
code,10,6,0.2972385922725173
code,10,7,0.4521839880737765
code,10,8,0.319317948201607
code,10,9,0.3443256017120405
code,10,10,0.44802265126129676
code,10,11,0.35757194476566095
code,11,0,0.39066679004965155
code,11,1,0.3880400037628481
code,11,2,0.4229940223967892
code,11,3,0.29877322535405215
code,11,4,0.44437169257936804
code,11,5,0.3683881406811462
code,11,6,0.3389582589439962
code,11,7,0.35329990414367324
code,11,8,0.4760490758665677
code,11,9,0.33863657661553087
code,11,10,0.4415901741762271
code,11,11,0.5169763225933601
poetry,0,0,0.30666914442554116
poetry,0,1,0.310012083966285
poetry,0,2,0.44242551643401384
poetry,0,3,0.27900054259225726
poetry,0,4,0.3040503649972379
poetry,0,5,0.32643250469118357
poetry,0,6,0.2967285281047225
poetry,0,7,0.3093482367694378
poetry,0,8,0.48920773807913065
poetry,0,9,0.5022643962875009
poetry,0,10,0.48488500341773033
poetry,0,11,0.4159389780834317
poetry,1,0,0.29050289699807763
poetry,1,1,0.2980526494793594
poetry,1,2,0.30363456159830093
poetry,1,3,0.6123945154249668
poetry,1,4,0.31915378104895353
poetry,1,5,0.36411589523777366
poetry,1,6,0.3631623825058341
poetry,1,7,0.33883445942774415
poetry,1,8,0.32446411019191146
poetry,1,9,0.28884593630209565
poetry,1,10,0.348260089289397
poetry,1,11,0.659406952559948
poetry,2,0,0.3804678516462445
poetry,2,1,0.3599663833156228
poetry,2,2,0.2859041406773031
poetry,2,3,0.2774301045574248
poetry,2,4,0.3460283470340073
poetry,2,5,0.32744847098365426
poetry,2,6,0.3797888979315758
poetry,2,7,0.3471722104586661
poetry,2,8,0.31246120063588023
poetry,2,9,0.33427579002454877
poetry,2,10,0.3448426714166999
poetry,2,11,0.35444500762969255
poetry,3,0,0.45949367992579937
poetry,3,1,0.2938467226922512
poetry,3,2,0.2815517205744982
poetry,3,3,0.3071704711765051
poetry,3,4,0.36331658717244864
poetry,3,5,0.3186802351847291
poetry,3,6,0.3283985750749707
poetry,3,7,0.3111573103815317
poetry,3,8,0.36534589901566505
poetry,3,9,0.31386255426332355
poetry,3,10,0.3231667736545205
poetry,3,11,0.31542347092181444
poetry,4,0,0.296505993232131
poetry,4,1,0.3099419637583196
poetry,4,2,0.3734367499127984
poetry,4,3,0.2912519979290664
poetry,4,4,0.31783232651650906
poetry,4,5,0.2714031874202192
poetry,4,6,0.2958272937685251
poetry,4,7,0.32770283659920096
poetry,4,8,0.33689347840845585
poetry,4,9,0.2863361435011029
poetry,4,10,0.3155939797870815
poetry,4,11,0.28006947226822376
poetry,5,0,0.28465852746739984
poetry,5,1,0.2987511050887406
poetry,5,2,0.28832335909828544
poetry,5,3,0.32571242609992623
poetry,5,4,0.3244155654683709
poetry,5,5,0.29410591535270214
poetry,5,6,0.27949348418042064
poetry,5,7,0.30461012525483966
poetry,5,8,0.2898164982907474
poetry,5,9,0.30182177061215043
poetry,5,10,0.3238725154660642
poetry,5,11,0.33361417800188065
poetry,6,0,0.2986159073188901
poetry,6,1,0.2827477212995291
poetry,6,2,0.3336855163797736
poetry,6,3,0.3023362848907709
poetry,6,4,0.29901735624298453
poetry,6,5,0.30526883294805884
poetry,6,6,0.3112824931740761
poetry,6,7,0.2967556118965149
poetry,6,8,0.29095683339983225
poetry,6,9,0.2723578391596675
poetry,6,10,0.29096728516742587
poetry,6,11,0.27908418234437704
poetry,7,0,0.2975685950368643
poetry,7,1,0.3051981832832098
poetry,7,2,0.26652561593800783
poetry,7,3,0.3117358395829797
poetry,7,4,0.3122837380506098
poetry,7,5,0.31556160002946854
poetry,7,6,0.2935297763906419
poetry,7,7,0.29473373061046004
poetry,7,8,0.3325848770327866
poetry,7,9,0.28207492968067527
poetry,7,10,0.26617355179041624
poetry,7,11,0.29619584511965513
poetry,8,0,0.33709165500476956
poetry,8,1,0.27644850546494126
poetry,8,2,0.33677584305405617
poetry,8,3,0.315387642942369
poetry,8,4,0.2845896575599909
poetry,8,5,0.29654978308826685
poetry,8,6,0.28823627810925245
poetry,8,7,0.2860423526726663
poetry,8,8,0.3411613218486309
poetry,8,9,0.30484112398698926
poetry,8,10,0.3096649623475969
poetry,8,11,0.30608571460470557
poetry,9,0,0.3393506994470954
poetry,9,1,0.33389617409557104
poetry,9,2,0.2972373845987022
poetry,9,3,0.3408823302015662
