model,layer,head,rA,mean_conc,r_conc_entropy,head_dim
gpt2-medium,2,0,-0.13627124,0.5353358285180454,-0.665786903108858,64
gpt2-medium,2,1,-0.3394899,0.5276943383545711,-0.7352901052987162,64
gpt2-medium,2,2,-0.4090405,0.5854991982723105,-0.38481191293393086,64
gpt2-medium,2,3,-0.48553878,0.34566641059415093,-0.3614279985226587,64
gpt2-medium,2,4,-0.4377502,0.3251587255247708,-0.43591239676633786,64
gpt2-medium,2,5,-0.50391656,0.36606406137861053,-0.619142207332314,64
gpt2-medium,2,6,-0.6094306,0.38812992696104376,-0.5544686186968732,64
gpt2-medium,2,7,-0.5927155,0.4381251026844156,-0.6774358999398997,64
gpt2-medium,2,8,-0.42368203,0.6119226412526493,0.31286329543613034,64
gpt2-medium,2,9,-0.48255095,0.5421035916640841,-0.2161610116254595,64
gpt2-medium,2,10,-0.6008198,0.320744030948343,-0.7459933869866726,64
gpt2-medium,2,11,-0.5403627,0.37201758705336474,-0.8308868584873109,64
gpt2-medium,2,12,-0.53993887,0.4933294314762642,-0.21126596141680276,64
gpt2-medium,2,13,-0.22500709,0.6441882355459805,0.365152803902519,64
gpt2-medium,2,14,-0.51327276,0.5797135069452483,-0.1809714543885292,64
gpt2-medium,2,15,-0.36768842,0.4657407937378719,-0.49985925464855907,64
gpt2-medium,3,0,-0.49604866,0.4688971299549629,-0.22270232833827308,64
gpt2-medium,3,1,-0.56254834,0.3769389925331905,-0.7196496435714944,64
gpt2-medium,3,2,-0.3966445,0.3639604911721986,-0.4429878562193821,64
gpt2-medium,3,3,-0.36522675,0.38428649203530674,-0.3677876843672376,64
gpt2-medium,3,4,-0.4419422,0.34408684331795264,-0.877549972649284,64
gpt2-medium,3,5,-0.62565094,0.31885210398969976,-0.7030419417321273,64
gpt2-medium,3,6,-0.35350037,0.2979992715449169,-0.7088698119757973,64
gpt2-medium,3,7,-0.60684466,0.3531610441618952,-0.7309029523710766,64
gpt2-medium,3,8,-0.5438748,0.28683187838258417,-0.7128644291732086,64
gpt2-medium,3,9,-0.45845798,0.3986439170508549,-0.5665435873970539,64
gpt2-medium,3,10,-0.45672664,0.3202670278220341,-0.6588274864941297,64
gpt2-medium,3,11,-0.41259897,0.42294424669495945,-0.4283263305538189,64
gpt2-medium,3,12,-0.40468386,0.3440430261965456,-0.5533668595035416,64
gpt2-medium,3,13,-0.46899626,0.3550085399685235,-0.14224599183201125,64
gpt2-medium,3,14,-0.69549215,0.33854371925880167,-0.7640971747805692,64
gpt2-medium,3,15,-0.499614,0.3075414382178208,-0.6473938504775671,64
gpt2-medium,4,0,-0.6012844,0.4008024077990959,-0.3136963238667091,64
gpt2-medium,4,1,-0.67230517,0.33006020866591357,-0.8329032264909383,64
gpt2-medium,4,2,-0.39021042,0.3893148087222001,-0.39649015016358163,64
gpt2-medium,4,3,-0.56076366,0.3139521428223314,-0.42331641198450065,64
gpt2-medium,4,4,-0.64551955,0.3156111754220107,-0.6601585025210149,64
gpt2-medium,4,5,-0.52419174,0.38304705147085516,-0.5382049934379259,64
gpt2-medium,4,6,-0.76851076,0.4315793637571664,-0.00876122079654972,64
gpt2-medium,4,7,-0.51085997,0.3628690181107357,-0.519022236798041,64
gpt2-medium,4,8,-0.56749666,0.4501256100062666,-0.11902492445914632,64
gpt2-medium,4,9,-0.71956384,0.3285253274029699,-0.5431396356330618,64
gpt2-medium,4,10,-0.5280694,0.41189689060737344,-0.025467198078758066,64
gpt2-medium,4,11,-0.66881394,0.31841053171404476,-0.8545690470139945,64
gpt2-medium,4,12,-0.4957127,0.39358975918128575,-0.6297200412026169,64
gpt2-medium,4,13,-0.8069936,0.2946146623841647,0.07121340156566366,64
gpt2-medium,4,14,-0.5729191,0.3315430900146221,-0.7412849196307195,64
gpt2-medium,4,15,-0.59713817,0.35260640649959957,-0.7841679312843377,64
gpt2-medium,5,0,-0.6675855,0.4237356751129545,-0.667639093777665,64
gpt2-medium,5,1,-0.6175144,0.3518572470237469,-0.654557749244117,64
gpt2-medium,5,2,-0.6611318,0.3156391813837249,-0.37616471640625443,64
gpt2-medium,5,3,-0.65782446,0.299166113652032,-0.5777321897506799,64
gpt2-medium,5,4,-0.59656006,0.3006917032702216,-0.5041978336643002,64
gpt2-medium,5,5,-0.47308734,0.44615900208210124,0.15120201999453492,64
gpt2-medium,5,6,-0.55435,0.3212136348773693,-0.5625054365152531,64
gpt2-medium,5,7,-0.58582,0.32037541424405985,-0.5947294969850934,64
gpt2-medium,5,8,-0.7872173,0.3157274604871355,-0.20744712686711006,64
gpt2-medium,5,9,-0.703792,0.2903183323555979,-0.6674977812549204,64
gpt2-medium,5,10,-0.6525185,0.3358331225041685,-0.4957702863531717,64
gpt2-medium,5,11,-0.81027126,0.3060523122549057,-0.14970883303628402,64
gpt2-medium,5,12,-0.43839952,0.4503806361864353,0.08349503853052008,64
gpt2-medium,5,13,-0.7234095,0.33588134625862387,-0.5962699713836616,64
gpt2-medium,5,14,-0.8254548,0.32417396019245015,-0.5256617164646364,64
gpt2-medium,5,15,-0.7791624,0.28123039983469866,-0.5532540982299663,64
gpt2-medium,6,0,-0.83721954,0.29236291708617373,-0.1442984249781526,64
gpt2-medium,6,1,-0.9000234,0.3001697474512561,-0.197301468614541,64
gpt2-medium,6,2,-0.87466705,0.3849959507070739,0.10677834093107164,64
gpt2-medium,6,3,-0.8162827,0.28809980431507376,-0.4147679837892078,64
gpt2-medium,6,4,-0.83794016,0.4317519325634529,0.16071079686704326,64
