layer,head,mean_conc,r_conc_entropy
8,4,0.3384962076770848,-0.18220141405727508
8,5,0.3175975438849679,-0.3721575257178999
8,6,0.3497642905547701,-0.2373064082285191
8,7,0.3316653422240553,-0.0345748323379617
8,8,0.3714199014778795,-0.42418055265658666
8,9,0.3163016268919254,-0.46722834251212647
8,10,0.36005890369415283,-0.5038882019885672
8,11,0.29133984343758945,-0.49754794852777007
9,0,0.35056250362560665,-0.5268549333029853
9,1,0.3210338667548936,-0.48709927563362154
9,2,0.3940733342335142,-0.5638393371425209
9,3,0.38376958822381907,-0.7505761786190702
9,4,0.3484832875687501,-0.11615705487961671
9,5,0.3498182861969389,-0.5704664893068422
9,6,0.3533047006048005,-0.42139532747836267
9,7,0.3258517764765641,-0.39307555771718716
9,8,0.33356939872791025,-0.13077966423863274
9,9,0.341050596072756,-0.1330279737074946
9,10,0.34588037585390025,-0.5012538379710167
9,11,0.3189401004848809,-0.4810509680930234
10,0,0.38538900634338114,-0.5889410320648003
10,1,0.3139239621573481,-0.43148194977840015
10,2,0.33422515207323533,-0.4115787879672445
10,3,0.3130072360408717,-0.17676738037331416
10,4,0.3182679830953993,-0.6059858195758502
10,5,0.34629183545194825,-0.19433359783757956
10,6,0.2732737038669915,-0.40073591986246127
10,7,0.3990714642508277,0.07730164524598293
10,8,0.31636612888040216,-0.4103555948666578
10,9,0.310352087020874,-0.3609780405541503
10,10,0.37578957861867446,-0.5419650699099126
10,11,0.36754691189733046,-0.07079748825830279
11,0,0.30799583319959967,-0.44564282869815885
11,1,0.29639090546246233,-0.16613090817117726
11,2,0.31080146544966203,-0.189029347652436
11,3,0.38660637880193777,-0.40955491780400494
11,4,0.3399539189092044,-0.3390433914787584
11,5,0.2920416521614996,-0.47477884968517126
11,6,0.30274593881491957,-0.16329317472928945
11,7,0.32439132805528315,-0.28551756299060116
11,8,0.5464560923905208,-0.8514271794032084
11,9,0.3301972849615689,-0.5003897126444626
11,10,0.37328607100864936,-0.23450762946527307
11,11,0.3966096480344904,-0.12542369496913097
