layer,head,rA,rB,rC
8,6,-0.7432969,-0.5036836988821108,-0.6551285709593181
8,7,-0.76535887,-0.552696068981507,-0.5518525475943142
8,8,-0.4967675,-0.487856513408895,-0.5361174053495411
8,9,-0.7919751,-0.47610923175782666,-0.679766032161503
8,10,-0.59747267,-0.6644759384441506,-0.5439646413124241
8,11,-0.70617217,-0.2187404685923806,-0.49305336974355074
9,0,-0.6196776,-0.26358781556573296,-0.4744171375114538
9,1,-0.66796523,-0.015934314601586102,-0.630856485241707
9,2,-0.5262682,-0.48417772867143055,-0.5887077011442532
9,3,-0.636993,-0.7177290040819234,-0.49816881409924935
9,4,-0.85221606,-0.6168156091833943,-0.7736219377464534
9,5,-0.74979204,-0.47689953161234033,-0.470988633616633
9,6,-0.75001884,-0.34922286695625243,-0.5690474338370684
9,7,-0.7039352,-0.5747821883729514,-0.6406770365905973
9,8,-0.87917936,-0.3353238270299559,-0.581983660263027
9,9,-0.8272565,-0.06737510889958175,-0.5485116336570448
9,10,-0.71916246,-0.518058641391191,-0.6547569731404991
9,11,-0.7689647,-0.6212168984086336,-0.5903286035541949
10,0,-0.44264746,-0.14027772636659291,-0.6236924897952317
10,1,-0.70170665,0.15660917160500096,-0.6152026732432672
10,2,-0.79208505,-0.08537588144930952,-0.5954201298160283
10,3,-0.74237204,-0.1877275235257474,-0.6397637650504826
10,4,-0.6552929,-0.5932452630620488,-0.6457923642561402
10,5,-0.781046,-0.6743812894663667,-0.6362276272519001
10,6,-0.7081677,0.008560867476816166,-0.6305916745147797
10,7,-0.5972538,0.0022537101467552645,-0.4080239156686112
10,8,-0.9046375,-0.3654845215166652,-0.5625765295445224
10,9,-0.7099557,-0.5437115685994838,-0.6128386334530992
10,10,-0.8758029,-0.44940461940129456,-0.5236562493854633
10,11,-0.6377448,-0.3135046825207017,-0.5643700904471846
11,0,-0.6174351,-0.3338192491532145,-0.6055106586507342
11,1,-0.7724957,-0.6020844548835674,-0.47168550599351194
11,2,-0.7035351,0.18193477398175703,-0.6119104367244861
11,3,-0.45783538,-0.7506967915531287,-0.5103062353960116
11,4,-0.7918211,-0.15259022458280352,-0.576733155295953
11,5,-0.7581333,-0.037421989860402974,-0.5206752471148361
11,6,-0.8667689,-0.11285475216211463,-0.5016564615668354
11,7,-0.814486,-0.2859478259354907,-0.5289997108704577
11,8,-0.22416933,0.3807648753657224,-0.24945451895240123
11,9,-0.71400696,-0.15236470324424578,-0.647650650023403
11,10,-0.51808965,-0.007734067638399737,-0.6236947488175372
11,11,-0.576614,0.11614984683889738,-0.49959116787221564
