domain,layer,head,rA,mean_conc
single,7,6,-0.5729679855302534,0.3093344545405772
single,7,7,-0.6580598355062686,0.3439362805543674
single,7,8,-0.47570612044584043,0.345499024933411
single,7,9,-0.6348978044354073,0.317370295835038
single,7,10,-0.40782036730591553,0.42011056147101855
single,7,11,-0.49885072608304193,0.4283644903658165
single,8,0,-0.5356774885740604,0.39341368226127493
single,8,1,-0.5056527515627591,0.3943483472491304
single,8,2,-0.43410853188069837,0.42142321603993577
single,8,3,-0.49379867292313406,0.3090382277344664
single,8,4,-0.5031936395240345,0.3057966429947151
single,8,5,-0.41180504716284616,0.34401571440200013
single,8,6,-0.5860436207901168,0.3319089916638202
single,8,7,-0.4174990395607445,0.35689720583872664
single,8,8,-0.4025546623098427,0.36831722408533096
single,8,9,-0.5817092196787711,0.3165445571972264
single,8,10,-0.489863005126575,0.3667132915515039
single,8,11,-0.4809224246638974,0.38678138320230776
single,9,0,-0.5621679377262094,0.29281828304131824
single,9,1,-0.5142108093331331,0.30820953380316496
single,9,2,-0.5621800432118846,0.31124140115247834
single,9,3,-0.4600877846640613,0.36165778721786207
single,9,4,-0.49276040070957744,0.3422720530587766
single,9,5,-0.49131975541993894,0.34631795425795847
single,9,6,-0.5148954294907983,0.3559383836885293
single,9,7,-0.5508328329975334,0.29727006713963217
single,9,8,-0.522170928683018,0.3363222101082404
single,9,9,-0.5133345643690355,0.3696196316224005
single,9,10,-0.5281419719503054,0.3505801957928472
single,9,11,-0.42532693338547745,0.46514063566509223
single,10,0,-0.4774105353747681,0.40784434674100745
single,10,1,-0.5065883548269698,0.3184639477274484
single,10,2,-0.42176130554589575,0.3881826594264971
single,10,3,-0.4051203994896606,0.37411448266357183
single,10,4,-0.46400366882811256,0.35185784256706637
single,10,5,-0.470775673583609,0.3440865045413375
single,10,6,-0.5454656384353922,0.2975106345903542
single,10,7,-0.3536946843974732,0.4352306205158432
single,10,8,-0.5599097478597027,0.32218094790975255
single,10,9,-0.4329804873471927,0.3381836517817444
single,10,10,-0.5260942050107944,0.4209031485435035
single,10,11,-0.4299111215873304,0.3444971407039298
single,11,0,-0.326897061969169,0.3825863317276041
single,11,1,-0.40888309124167665,0.36231821878916687
single,11,2,-0.4291277696297814,0.3925630148086283
single,11,3,-0.44190762191369776,0.28451638917128247
single,11,4,-0.37678800691709163,0.4166384916752577
single,11,5,-0.47945461128624245,0.3431604059620036
single,11,6,-0.49281425082293684,0.3325986597273085
single,11,7,-0.47405080986450104,0.3453700898422135
single,11,8,-0.22250685568562165,0.47421031031343674
single,11,9,-0.467322860130884,0.32755896273172563
single,11,10,-0.3864540011812836,0.4178352369409468
single,11,11,-0.21804169883774152,0.5166523684230115
double,0,0,-0.3148514112269496,0.29919997273489485
double,0,1,-0.6761553747511055,0.3257736459720966
double,0,2,-0.28747342077001553,0.44686906386253444
double,0,3,-0.5696035941041725,0.30839610688908153
double,0,4,-0.4288699629047834,0.31774365087581236
double,0,5,-0.5527791393249942,0.34483482307472896
double,0,6,-0.18360614805001788,0.2648293620278669
double,0,7,-0.3273234190218883,0.2946665619694909
double,0,8,-0.3565844590432667,0.4317999716068423
double,0,9,-0.3363887886904653,0.44088423841221386
double,0,10,-0.3076565209435756,0.46842414279316746
double,0,11,-0.23658505788431078,0.3366209192331447
double,1,0,-0.308917943378217,0.2966857185197431
double,1,1,-0.37421933814759706,0.2733477710984474
double,1,2,-0.4569691850142673,0.29474276200283406
double,1,3,-0.595538511255248,0.531990245677704
double,1,4,-0.26366271996462365,0.29132078414739565
double,1,5,-0.4119741899805783,0.3845886854931366
double,1,6,-0.2567812473275087,0.36954630010349804
double,1,7,-0.29604915209201904,0.32986901388611906
double,1,8,-0.34107432270868454,0.3476697055752887
double,1,9,-0.37487167487618467,0.3405208644825359
double,1,10,-0.3581463228301495,0.31074642234070354
double,1,11,-0.3080532871678036,0.7285233836534412
double,2,0,-0.3268960400904134,0.3494211424921834
double,2,1,-0.26482326789181887,0.38242723671502843
double,2,2,-0.38747019818123085,0.303632564322893
double,2,3,-0.4491786718149245,0.2757062281286994
double,2,4,-0.32487849596271345,0.3770003925229228
double,2,5,-0.4188242646754104,0.3037324403954107
double,2,6,-0.42329360740974986,0.3752530903317208
double,2,7,-0.24901564854038685,0.3118422310366187
double,2,8,-0.4046432808901587,0.3097438143436299
double,2,9,-0.47973886580622216,0.3380365385565647
