domain,layer,head,rA,mean_conc
multi,4,10,-0.4922324797776172,0.34114411270734174
multi,4,11,-0.6317645481908375,0.28308735469591273
multi,5,0,-0.6617813714964125,0.25462535096025
multi,5,1,-0.8285470987123483,0.23972006315745195
multi,5,2,-0.5973031927398447,0.26677105626434955
multi,5,3,-0.4491995273551872,0.30124334470160957
multi,5,4,-0.5733778234206207,0.26207264172799377
multi,5,5,-0.640419718300183,0.27857842940149957
multi,5,6,-0.6339642901226893,0.24303402339370506
multi,5,7,-0.536046640416772,0.26264552048687795
multi,5,8,-0.6525591368976517,0.2689670981134026
multi,5,9,-0.7355288894338646,0.26547839745734503
multi,5,10,-0.4604796592982284,0.3136183950796868
multi,5,11,-0.32802641386005005,0.37805697553366135
multi,6,0,-0.5597503726167469,0.2947518410323893
multi,6,1,-0.6688173829887114,0.2503441272719393
multi,6,2,-0.5235919941813099,0.30641361304278514
multi,6,3,-0.5337835032203192,0.30530936885805965
multi,6,4,-0.4203572657064825,0.31249432555101453
multi,6,5,-0.5846081562139026,0.31102132594701154
multi,6,6,-0.5348441032380848,0.30722418355131614
multi,6,7,-0.4871908893479098,0.32873812867599783
multi,6,8,-0.5451855208021049,0.2814239811839409
multi,6,9,-0.649946855003169,0.278044058859927
multi,6,10,-0.5750458387504209,0.2999142623931459
multi,6,11,-0.5164220474773652,0.29029025397833114
multi,7,0,-0.5131730775705036,0.30179312043977014
multi,7,1,-0.5279325379879372,0.3193708260371847
multi,7,2,-0.6340811757026958,0.267135757555082
multi,7,3,-0.6163498869522102,0.306956813896744
multi,7,4,-0.6319587487267799,0.30944711100129246
multi,7,5,-0.47109911390468046,0.30953639919318043
multi,7,6,-0.6611447321406821,0.29075043583379206
multi,7,7,-0.6131992041013795,0.29337072459239405
multi,7,8,-0.4529784810687853,0.33320989712928106
multi,7,9,-0.4949736537756075,0.30070060694101947
multi,7,10,-0.6651671340071004,0.24403542497204345
multi,7,11,-0.6722023365064941,0.28163175603139745
multi,8,0,-0.6120175478047439,0.2884753279894301
multi,8,1,-0.643757461433243,0.26646074956481897
multi,8,2,-0.4112271750271661,0.28661730581695594
multi,8,3,-0.5289958545768279,0.307123495392429
multi,8,4,-0.4890370418840098,0.3088013994172939
multi,8,5,-0.528093088903825,0.3249361457176579
multi,8,6,-0.5690773042138856,0.2842730207061305
multi,8,7,-0.5094446558639208,0.32422516950704516
multi,8,8,-0.374222016081868,0.32511529326438904
multi,8,9,-0.5450333313704079,0.3172792284523399
multi,8,10,-0.5379594670406762,0.34541501321838897
multi,8,11,-0.4302653668791596,0.27281512725121765
multi,9,0,-0.5220037984712408,0.2781777248799222
multi,9,1,-0.4438618248930685,0.27986931757440847
